,featurecode,years,units,value,region_of_residence,breakdown_of_domestic_tourism
2351,S12000047,2015-2017,million pounds (GBP),39,Scotland,Expenditure
2352,S12000047,2010-2012,million pounds (GBP),39,Scotland,Expenditure
2353,S12000047,2009-2011,Thousand Nights,836,Scotland,Nights
2354,S12000047,2016-2018,Thousand Nights,717,Scotland,Nights
2355,S12000047,2012-2014,Thousand Nights,730,Scotland,Nights
2356,S12000047,2014-2016,Thousand Nights,729,England,Nights
2357,S12000047,2017-2019,Thousand Visits,344,Scotland,Visits
2358,S12000047,2015-2017,Thousand Nights,870,England,Nights
2359,S12000047,2012-2014,Thousand Visits,282,Scotland,Visits
2360,S12000047,2012-2014,Thousand Visits,213,England,Visits
2361,S12000047,2011-2013,Thousand Nights,824,England,Nights
2362,S12000047,2010-2012,Thousand Visits,180,England,Visits
2363,S12000047,2012-2014,million pounds (GBP),39,Scotland,Expenditure
2364,S12000047,2017-2019,million pounds (GBP),57,England,Expenditure
2365,S12000047,2010-2012,Thousand Visits,470,All of GB,Visits
2366,S12000047,2014-2016,million pounds (GBP),37,Scotland,Expenditure
2367,S12000047,2013-2015,Thousand Visits,303,Scotland,Visits
2368,S12000047,2015-2017,Thousand Visits,241,England,Visits
2369,S12000047,2011-2013,Thousand Nights,600,Scotland,Nights
2370,S12000047,2009-2011,Thousand Visits,534,All of GB,Visits
2371,S12000047,2017-2019,Thousand Nights,1853,All of GB,Nights
2372,S12000047,2016-2018,Thousand Visits,540,All of GB,Visits
2373,S12000047,2009-2011,Thousand Nights,1116,England,Nights
2374,S12000047,2009-2011,million pounds (GBP),48,England,Expenditure
2375,S12000047,2016-2018,million pounds (GBP),39,Scotland,Expenditure
2376,S12000047,2011-2013,million pounds (GBP),33,Scotland,Expenditure
2377,S12000047,2014-2016,Thousand Nights,788,Scotland,Nights
2378,S12000047,2010-2012,Thousand Visits,285,Scotland,Visits
2379,S12000047,2014-2016,Thousand Visits,238,England,Visits
2380,S12000047,2017-2019,Thousand Nights,875,Scotland,Nights
2381,S12000047,2013-2015,Thousand Visits,528,All of GB,Visits
2382,S12000047,2010-2012,million pounds (GBP),84,All of GB,Expenditure
2383,S12000047,2012-2014,million pounds (GBP),55,England,Expenditure
2384,S12000047,2014-2016,Thousand Visits,530,All of GB,Visits
2385,S12000047,2013-2015,Thousand Nights,832,Scotland,Nights
2386,S12000047,2016-2018,Thousand Visits,299,Scotland,Visits
2387,S12000047,2014-2016,Thousand Nights,1546,All of GB,Nights
2388,S12000047,2014-2016,Thousand Visits,286,Scotland,Visits
2389,S12000047,2016-2018,million pounds (GBP),53,England,Expenditure
2390,S12000047,2012-2014,million pounds (GBP),94,All of GB,Expenditure
2391,S12000047,2017-2019,million pounds (GBP),54,Scotland,Expenditure
2392,S12000047,2017-2019,million pounds (GBP),112,All of GB,Expenditure
2393,S12000047,2011-2013,Thousand Visits,250,Scotland,Visits
2394,S12000047,2015-2017,Thousand Nights,802,Scotland,Nights
2395,S12000047,2014-2016,million pounds (GBP),85,All of GB,Expenditure
2396,S12000047,2013-2015,Thousand Nights,745,England,Nights
2397,S12000047,2009-2011,Thousand Nights,1972,All of GB,Nights
2398,S12000047,2017-2019,Thousand Visits,571,All of GB,Visits
2399,S12000047,2012-2014,Thousand Nights,737,England,Nights
2400,S12000047,2009-2011,million pounds (GBP),88,All of GB,Expenditure
2401,S12000047,2016-2018,Thousand Nights,877,England,Nights
2402,S12000047,2013-2015,million pounds (GBP),51,England,Expenditure
2403,S12000047,2012-2014,Thousand Nights,1466,All of GB,Nights
2404,S12000047,2013-2015,million pounds (GBP),89,All of GB,Expenditure
2405,S12000047,2010-2012,Thousand Nights,1645,All of GB,Nights
2406,S12000047,2009-2011,Thousand Visits,324,Scotland,Visits
2407,S12000047,2017-2019,Thousand Nights,951,England,Nights
2408,S12000047,2016-2018,Thousand Nights,1650,All of GB,Nights
2409,S12000047,2009-2011,Thousand Visits,204,England,Visits
2410,S12000047,2012-2014,Thousand Visits,494,All of GB,Visits
2411,S12000047,2011-2013,Thousand Nights,1444,All of GB,Nights
2412,S12000047,2015-2017,million pounds (GBP),89,All of GB,Expenditure
2413,S12000047,2010-2012,Thousand Nights,716,Scotland,Nights
2414,S12000047,2010-2012,Thousand Nights,910,England,Nights
2415,S12000047,2015-2017,Thousand Visits,556,All of GB,Visits
2416,S12000047,2011-2013,Thousand Visits,191,England,Visits
2417,S12000047,2009-2011,million pounds (GBP),40,Scotland,Expenditure
2418,S12000047,2015-2017,Thousand Visits,307,Scotland,Visits
2419,S12000047,2015-2017,million pounds (GBP),49,England,Expenditure
2420,S12000047,2013-2015,million pounds (GBP),38,Scotland,Expenditure
2421,S12000047,2014-2016,million pounds (GBP),47,England,Expenditure
2422,S12000047,2016-2018,Thousand Visits,229,England,Visits
2423,S12000047,2016-2018,million pounds (GBP),94,All of GB,Expenditure
2424,S12000047,2010-2012,million pounds (GBP),45,England,Expenditure
2425,S12000047,2011-2013,million pounds (GBP),54,England,Expenditure
2426,S12000047,2017-2019,Thousand Visits,221,England,Visits
2427,S12000047,2011-2013,Thousand Visits,446,All of GB,Visits
2428,S12000047,2011-2013,million pounds (GBP),88,All of GB,Expenditure
2429,S12000047,2015-2017,Thousand Nights,1705,All of GB,Nights
2430,S12000048,2009-2011,Thousand Nights,1316,Scotland,Nights
2431,S12000048,2013-2015,Thousand Visits,203,England,Visits
2432,S12000048,2010-2012,million pounds (GBP),83,Scotland,Expenditure
2433,S12000048,2016-2018,Thousand Nights,877,England,Nights
2434,S12000048,2010-2012,million pounds (GBP),82,England,Expenditure
2435,S12000048,2011-2013,Thousand Nights,1348,Scotland,Nights
2436,S12000048,2014-2016,Thousand Nights,2121,All of GB,Nights
2437,S12000048,2015-2017,Thousand Nights,1236,Scotland,Nights
2438,S12000048,2017-2019,million pounds (GBP),79,England,Expenditure
2439,S12000048,2009-2011,Thousand Visits,723,All of GB,Visits
2440,S12000048,2013-2015,Thousand Nights,1493,Scotland,Nights
2441,S12000048,2015-2017,Thousand Nights,748,England,Nights
2442,S12000048,2014-2016,Thousand Nights,632,England,Nights
2443,S12000048,2013-2015,Thousand Nights,792,England,Nights
2444,S12000048,2016-2018,million pounds (GBP),72,Scotland,Expenditure
2445,S12000048,2017-2019,Thousand Nights,1037,England,Nights
2446,S12000048,2010-2012,Thousand Nights,1392,Scotland,Nights
2447,S12000048,2013-2015,Thousand Nights,2285,All of GB,Nights
2448,S12000048,2016-2018,Thousand Nights,1092,Scotland,Nights
2449,S12000048,2012-2014,Thousand Nights,976,England,Nights
2450,S12000048,2009-2011,Thousand Nights,1078,England,Nights
2451,S12000048,2011-2013,million pounds (GBP),74,England,Expenditure
2452,S12000048,2011-2013,million pounds (GBP),96,Scotland,Expenditure
2453,S12000048,2012-2014,million pounds (GBP),96,Scotland,Expenditure
2454,S12000048,2011-2013,million pounds (GBP),171,All of GB,Expenditure
2455,S12000048,2015-2017,million pounds (GBP),130,All of GB,Expenditure
2456,S12000048,2014-2016,Thousand Visits,518,Scotland,Visits
2457,S12000048,2010-2012,million pounds (GBP),167,All of GB,Expenditure
2458,S12000048,2012-2014,Thousand Visits,742,All of GB,Visits
2459,S12000048,2012-2014,Thousand Visits,244,England,Visits
2460,S12000048,2016-2018,Thousand Nights,2004,All of GB,Nights
2461,S12000048,2016-2018,million pounds (GBP),66,England,Expenditure
2462,S12000048,2009-2011,Thousand Visits,258,England,Visits
2463,S12000048,2014-2016,million pounds (GBP),83,Scotland,Expenditure
2464,S12000048,2016-2018,Thousand Visits,447,Scotland,Visits
2465,S12000048,2017-2019,Thousand Visits,694,All of GB,Visits
2466,S12000048,2014-2016,million pounds (GBP),134,All of GB,Expenditure
2467,S12000048,2013-2015,million pounds (GBP),55,England,Expenditure
2468,S12000048,2010-2012,Thousand Visits,515,Scotland,Visits
2469,S12000048,2009-2011,Thousand Visits,458,Scotland,Visits
2470,S12000048,2010-2012,Thousand Nights,2589,All of GB,Nights
2471,S12000048,2015-2017,million pounds (GBP),55,England,Expenditure
2472,S12000048,2016-2018,million pounds (GBP),138,All of GB,Expenditure
2473,S12000048,2013-2015,Thousand Visits,722,All of GB,Visits
2474,S12000048,2017-2019,million pounds (GBP),158,All of GB,Expenditure
2475,S12000048,2012-2014,Thousand Nights,2427,All of GB,Nights
2476,S12000048,2014-2016,Thousand Visits,722,All of GB,Visits
2477,S12000048,2017-2019,Thousand Visits,261,England,Visits
2478,S12000048,2011-2013,Thousand Visits,285,England,Visits
2479,S12000048,2014-2016,Thousand Visits,196,England,Visits
2480,S12000048,2012-2014,million pounds (GBP),159,All of GB,Expenditure
2481,S12000048,2011-2013,Thousand Visits,481,Scotland,Visits
2482,S12000048,2014-2016,million pounds (GBP),50,England,Expenditure
2483,S12000048,2016-2018,Thousand Visits,217,England,Visits
2484,S12000048,2013-2015,Thousand Visits,518,Scotland,Visits
2485,S12000048,2009-2011,million pounds (GBP),157,All of GB,Expenditure
2486,S12000048,2017-2019,million pounds (GBP),79,Scotland,Expenditure
2487,S12000048,2013-2015,million pounds (GBP),157,All of GB,Expenditure
2488,S12000048,2016-2018,Thousand Visits,675,All of GB,Visits
2489,S12000048,2017-2019,Thousand Nights,2116,All of GB,Nights
2490,S12000048,2012-2014,Thousand Nights,1452,Scotland,Nights
2491,S12000048,2010-2012,Thousand Visits,809,All of GB,Visits
2492,S12000048,2015-2017,Thousand Nights,2020,All of GB,Nights
2493,S12000048,2015-2017,Thousand Visits,486,Scotland,Visits
2494,S12000048,2011-2013,Thousand Nights,1158,England,Nights
2495,S12000048,2011-2013,Thousand Visits,772,All of GB,Visits
2496,S12000048,2015-2017,million pounds (GBP),74,Scotland,Expenditure
2497,S12000048,2009-2011,million pounds (GBP),79,England,Expenditure
2498,S12000048,2015-2017,Thousand Visits,207,England,Visits
2499,S12000048,2010-2012,Thousand Nights,1167,England,Nights
2500,S12000048,2012-2014,Thousand Visits,498,Scotland,Visits
2501,S12000048,2017-2019,Thousand Nights,1076,Scotland,Nights
2502,S12000048,2014-2016,Thousand Nights,1457,Scotland,Nights
2503,S12000048,2015-2017,Thousand Visits,704,All of GB,Visits
2504,S12000048,2017-2019,Thousand Visits,429,Scotland,Visits
2505,S12000048,2009-2011,Thousand Nights,2424,All of GB,Nights
2506,S12000048,2012-2014,million pounds (GBP),63,England,Expenditure
2507,S12000048,2011-2013,Thousand Nights,2523,All of GB,Nights
2508,S12000048,2009-2011,million pounds (GBP),76,Scotland,Expenditure
2509,S12000048,2010-2012,Thousand Visits,287,England,Visits
2510,S12000048,2013-2015,million pounds (GBP),103,Scotland,Expenditure
2511,S12000049,2010-2012,Thousand Nights,3902,All of GB,Nights
2512,S12000049,2012-2014,Thousand Nights,4401,All of GB,Nights
2513,S12000049,2014-2016,Thousand Visits,663,Scotland,Visits
2514,S12000049,2013-2015,Thousand Nights,4278,All of GB,Nights
2515,S12000049,2012-2014,million pounds (GBP),111,Scotland,Expenditure
2516,S12000049,2013-2015,Thousand Nights,1242,Scotland,Nights
2517,S12000049,2009-2011,Thousand Nights,3884,All of GB,Nights
2518,S12000049,2009-2011,Thousand Visits,1631,All of GB,Visits
2519,S12000049,2016-2018,million pounds (GBP),361,All of GB,Expenditure
2520,S12000049,2014-2016,Thousand Nights,1270,Scotland,Nights
2521,S12000049,2012-2014,Thousand Nights,3061,England,Nights
2522,S12000049,2017-2019,Thousand Nights,1229,Scotland,Nights
2523,S12000049,2017-2019,Thousand Nights,3602,All of GB,Nights
2524,S12000049,2009-2011,Thousand Visits,573,Scotland,Visits
2525,S12000049,2011-2013,Thousand Nights,3852,All of GB,Nights
2526,S12000049,2015-2017,Thousand Nights,1117,Scotland,Nights
2527,S12000049,2015-2017,Thousand Visits,1599,All of GB,Visits
2528,S12000049,2014-2016,million pounds (GBP),122,Scotland,Expenditure
2529,S12000049,2015-2017,Thousand Nights,3786,All of GB,Nights
2530,S12000049,2011-2013,Thousand Visits,976,England,Visits
2531,S12000049,2017-2019,million pounds (GBP),120,Scotland,Expenditure
2532,S12000049,2017-2019,Thousand Nights,2325,England,Nights
2533,S12000049,2016-2018,Thousand Nights,3600,All of GB,Nights
2534,S12000049,2016-2018,Thousand Nights,2416,England,Nights
2535,S12000049,2013-2015,Thousand Visits,627,Scotland,Visits
2536,S12000049,2010-2012,Thousand Visits,1085,England,Visits
2537,S12000049,2015-2017,million pounds (GBP),261,England,Expenditure
2538,S12000049,2010-2012,Thousand Nights,2875,England,Nights
2539,S12000049,2016-2018,Thousand Visits,566,Scotland,Visits
2540,S12000049,2012-2014,Thousand Visits,1051,England,Visits
2541,S12000049,2013-2015,million pounds (GBP),118,Scotland,Expenditure
2542,S12000049,2012-2014,Thousand Visits,1727,All of GB,Visits
2543,S12000049,2011-2013,million pounds (GBP),324,All of GB,Expenditure
2544,S12000049,2009-2011,Thousand Visits,1028,England,Visits
2545,S12000049,2016-2018,Thousand Visits,960,England,Visits
2546,S12000049,2010-2012,Thousand Visits,1692,All of GB,Visits
2547,S12000049,2015-2017,Thousand Visits,580,Scotland,Visits
2548,S12000049,2015-2017,Thousand Visits,979,England,Visits
2549,S12000049,2017-2019,million pounds (GBP),241,England,Expenditure
2550,S12000049,2009-2011,million pounds (GBP),240,England,Expenditure
2551,S12000049,2013-2015,Thousand Visits,990,England,Visits
2552,S12000049,2010-2012,million pounds (GBP),90,Scotland,Expenditure
2553,S12000049,2009-2011,million pounds (GBP),90,Scotland,Expenditure
2554,S12000049,2015-2017,million pounds (GBP),116,Scotland,Expenditure
2555,S12000049,2011-2013,Thousand Nights,2725,England,Nights
2556,S12000049,2009-2011,million pounds (GBP),341,All of GB,Expenditure
2557,S12000049,2013-2015,million pounds (GBP),242,England,Expenditure
2558,S12000049,2011-2013,Thousand Visits,590,Scotland,Visits
2559,S12000049,2013-2015,Thousand Visits,1682,All of GB,Visits
2560,S12000049,2012-2014,million pounds (GBP),219,England,Expenditure
2561,S12000049,2017-2019,Thousand Visits,1577,All of GB,Visits
2562,S12000049,2017-2019,Thousand Visits,946,England,Visits
2563,S12000049,2016-2018,Thousand Visits,1556,All of GB,Visits
2564,S12000049,2013-2015,million pounds (GBP),373,All of GB,Expenditure
2565,S12000049,2017-2019,million pounds (GBP),364,All of GB,Expenditure
2566,S12000049,2016-2018,million pounds (GBP),115,Scotland,Expenditure
2567,S12000049,2014-2016,million pounds (GBP),267,England,Expenditure
2568,S12000049,2014-2016,Thousand Visits,1767,All of GB,Visits
2569,S12000049,2011-2013,million pounds (GBP),211,England,Expenditure
2570,S12000049,2014-2016,million pounds (GBP),406,All of GB,Expenditure
2571,S12000049,2014-2016,Thousand Visits,1025,England,Visits
2572,S12000049,2010-2012,Thousand Visits,572,Scotland,Visits
2573,S12000049,2010-2012,million pounds (GBP),342,All of GB,Expenditure
2574,S12000049,2012-2014,million pounds (GBP),343,All of GB,Expenditure
2575,S12000049,2016-2018,million pounds (GBP),237,England,Expenditure
2576,S12000049,2013-2015,Thousand Nights,2920,England,Nights
2577,S12000049,2012-2014,Thousand Nights,1206,Scotland,Nights
2578,S12000049,2017-2019,Thousand Visits,614,Scotland,Visits
2579,S12000049,2011-2013,Thousand Nights,1052,Scotland,Nights
2580,S12000049,2009-2011,Thousand Nights,974,Scotland,Nights
2581,S12000049,2014-2016,Thousand Nights,2895,England,Nights
2582,S12000049,2009-2011,Thousand Nights,2833,England,Nights
2583,S12000049,2011-2013,million pounds (GBP),103,Scotland,Expenditure
2584,S12000049,2014-2016,Thousand Nights,4324,All of GB,Nights
2585,S12000049,2010-2012,million pounds (GBP),242,England,Expenditure
2586,S12000049,2015-2017,Thousand Nights,2567,England,Nights
2587,S12000049,2011-2013,Thousand Visits,1594,All of GB,Visits
2588,S12000049,2015-2017,million pounds (GBP),388,All of GB,Expenditure
2589,S12000049,2012-2014,Thousand Visits,611,Scotland,Visits
2590,S12000049,2010-2012,Thousand Nights,955,Scotland,Nights
2591,S12000049,2016-2018,Thousand Nights,1091,Scotland,Nights
2592,S12000050,2017-2019,million pounds (GBP),5,Scotland,Expenditure
2593,S12000050,2011-2013,Thousand Visits,130,England,Visits
2594,S12000050,2014-2016,Thousand Nights,283,All of GB,Nights
2595,S12000050,2009-2011,Thousand Nights,293,England,Nights
2596,S12000050,2014-2016,Thousand Visits,119,All of GB,Visits
2597,S12000050,2016-2018,Thousand Visits,84,All of GB,Visits
2598,S12000050,2010-2012,million pounds (GBP),44,All of GB,Expenditure
2599,S12000050,2012-2014,Thousand Nights,414,All of GB,Nights
2600,S12000050,2011-2013,million pounds (GBP),28,England,Expenditure
2601,S12000050,2014-2016,million pounds (GBP),17,All of GB,Expenditure
2602,S12000050,2013-2015,Thousand Nights,264,England,Nights
2603,S12000050,2013-2015,million pounds (GBP),19,All of GB,Expenditure
2604,S12000050,2010-2012,Thousand Visits,81,Scotland,Visits
2605,S12000050,2012-2014,million pounds (GBP),23,All of GB,Expenditure
2606,S12000050,2009-2011,Thousand Visits,74,Scotland,Visits
2607,S12000050,2014-2016,million pounds (GBP),12,England,Expenditure
2608,S12000050,2011-2013,Thousand Nights,389,England,Nights
2609,S12000050,2010-2012,million pounds (GBP),30,England,Expenditure
2610,S12000050,2013-2015,million pounds (GBP),13,England,Expenditure
2611,S12000050,2011-2013,million pounds (GBP),5,Scotland,Expenditure
2612,S12000050,2013-2015,Thousand Visits,139,All of GB,Visits
2613,S12000050,2010-2012,Thousand Nights,735,All of GB,Nights
2614,S12000050,2010-2012,million pounds (GBP),14,Scotland,Expenditure
2615,S12000050,2017-2019,million pounds (GBP),21,All of GB,Expenditure
2616,S12000050,2016-2018,million pounds (GBP),2,Scotland,Expenditure
2617,S12000050,2013-2015,Thousand Nights,94,Scotland,Nights
2618,S12000050,2016-2018,Thousand Nights,143,England,Nights
2619,S12000050,2016-2018,million pounds (GBP),16,All of GB,Expenditure
2620,S12000050,2013-2015,Thousand Visits,46,Scotland,Visits
2621,S12000050,2015-2017,Thousand Visits,95,All of GB,Visits
2622,S12000050,2014-2016,Thousand Visits,58,England,Visits
2623,S12000050,2012-2014,Thousand Visits,154,All of GB,Visits
2624,S12000050,2012-2014,Thousand Nights,283,England,Nights
2625,S12000050,2011-2013,Thousand Visits,55,Scotland,Visits
2626,S12000050,2009-2011,million pounds (GBP),37,All of GB,Expenditure
2627,S12000050,2014-2016,Thousand Nights,194,England,Nights
2628,S12000050,2009-2011,Thousand Visits,188,All of GB,Visits
2629,S12000050,2012-2014,Thousand Nights,102,Scotland,Nights
2630,S12000050,2017-2019,Thousand Nights,362,All of GB,Nights
2631,S12000050,2016-2018,Thousand Visits,55,England,Visits
2632,S12000050,2016-2018,Thousand Nights,179,All of GB,Nights
2633,S12000050,2012-2014,Thousand Visits,78,England,Visits
2634,S12000050,2010-2012,Thousand Visits,216,All of GB,Visits
2635,S12000050,2015-2017,Thousand Nights,239,All of GB,Nights
2636,S12000050,2017-2019,Thousand Visits,39,Scotland,Visits
2637,S12000050,2016-2018,Thousand Visits,28,Scotland,Visits
2638,S12000050,2015-2017,Thousand Visits,29,Scotland,Visits
2639,S12000050,2011-2013,Thousand Nights,135,Scotland,Nights
2640,S12000050,2017-2019,Thousand Nights,168,Scotland,Nights
2641,S12000050,2011-2013,Thousand Visits,185,All of GB,Visits
2642,S12000050,2015-2017,million pounds (GBP),3,Scotland,Expenditure
2643,S12000050,2009-2011,Thousand Nights,347,Scotland,Nights
2644,S12000050,2012-2014,Thousand Visits,47,Scotland,Visits
2645,S12000050,2009-2011,million pounds (GBP),25,England,Expenditure
2646,S12000050,2015-2017,Thousand Nights,44,Scotland,Nights
2647,S12000050,2015-2017,million pounds (GBP),15,All of GB,Expenditure
2648,S12000050,2013-2015,million pounds (GBP),4,Scotland,Expenditure
2649,S12000050,2010-2012,Thousand Visits,135,England,Visits
2650,S12000050,2012-2014,million pounds (GBP),4,Scotland,Expenditure
2651,S12000050,2014-2016,Thousand Nights,60,Scotland,Nights
2652,S12000050,2011-2013,Thousand Nights,524,All of GB,Nights
2653,S12000050,2014-2016,million pounds (GBP),3,Scotland,Expenditure
2654,S12000050,2017-2019,million pounds (GBP),16,England,Expenditure
2655,S12000050,2015-2017,Thousand Nights,196,England,Nights
2656,S12000050,2011-2013,million pounds (GBP),32,All of GB,Expenditure
2657,S12000050,2017-2019,Thousand Visits,62,England,Visits
2658,S12000050,2010-2012,Thousand Nights,371,England,Nights
2659,S12000050,2009-2011,million pounds (GBP),13,Scotland,Expenditure
2660,S12000050,2016-2018,million pounds (GBP),14,England,Expenditure
2661,S12000050,2013-2015,Thousand Nights,387,All of GB,Nights
2662,S12000050,2017-2019,Thousand Visits,101,All of GB,Visits
2663,S12000050,2014-2016,Thousand Visits,33,Scotland,Visits
2664,S12000050,2013-2015,Thousand Visits,64,England,Visits
2665,S12000050,2015-2017,Thousand Visits,65,England,Visits
2666,S12000050,2016-2018,Thousand Nights,36,Scotland,Nights
2667,S12000050,2017-2019,Thousand Nights,194,England,Nights
2668,S12000050,2012-2014,million pounds (GBP),18,England,Expenditure
2669,S12000050,2009-2011,Thousand Visits,113,England,Visits
2670,S12000050,2009-2011,Thousand Nights,640,All of GB,Nights
2671,S12000050,2015-2017,million pounds (GBP),12,England,Expenditure
2672,S12000050,2010-2012,Thousand Nights,364,Scotland,Nights
